chunk_id,chunk_category,chunk_text
1,고혈압,"주제: 고혈압\n 내용: 고혈압이란?
수축기 혈압: 심장이 수축하여 혈액을 내보낼 때 혈관이 받는 압력. 이완기 혈압: 혈액이 심장으로 들어올 때 혈관에 미치는 압력. 이완기 혈압 혈액이 심장으로 들어올 때 혈관에 미치는 압력. 혈압, 심장은 우리 몸에 산소와 영양소를 공급하기 위하여 분당 60~100회 정도 수축과 이완(확장)을 반복 합니다. 이렇게 심장은 펌프처럼 혈액을 몸 구석구석까지 보내는데, 이때 혈액이 혈관 벽에 가하는 힘이 혈압입니다. 즉, 혈압은 혈관 내 압력을 수치로 나타낸 것입니다. 수축기 혈압 심장이 수축하여 혈액을 심장 밖 혈관으로 밀어낼 때의 압력을 수축기(최고) 혈압이라고 합니다. 이완기 혈압 심장이 확장할 때 혈관에서 유지되는 압력을 이완기(최저) 혈압이라고 합니다. 고혈압 혈압이 지속적으로 정상 기준보다 높을 때를 고혈압이라고 합니다. 백의 고혈압 백의 고혈압은 병원 고혈압 혹은 병원 단독 고혈압이라고도 하며, 일상생활에서는 혈압이 정상인데 반해 의료 환경에만 들어오면 혈압이 상승하는 것을 말합니다. 환자들은 진료실에 들어와서 혈압을 측 정할 때 긴장하게 되는데 그 정도가 지나칠 경우 발생합니다."
2,고혈압,"주제: 고혈압\n 내용: 우리나라 고혈압 환자 비율 개요. 우리나라 30세 이상 성인 중 약 3명 중 1명은 고혈압 환자입니다. 고혈압은 나이가 들수록 유병률이 증가하는 경향을 보이며, 특히 60세 이상부터 급격히 증가합니다. 젊은 시절 혈압이 정상이더라도 고령이 되면 고혈압이 발생할 수 있습니다."
3,고혈압,"주제: 고혈압\n 내용: 연령대별 고혈압 유병률 통계 (2013년 기준)
2013년 기준 우리나라 고혈압 유병률은 다음과 같습니다:
- 30~39세: 9.7%
- 40~49세: 19.5%
- 50~59세: 35.9%
- 60~69세: 48.7%
- 70세 이상: 62.3%
연령이 증가할수록 고혈압 유병률이 현저하게 상승하는 양상을 보입니다."
4,고혈압,"주제: 고혈압\n 내용: 고령층의 혈압 변화 특성 및 위험성. 60세 이상이 되면 혈관의 노화로 인해 수축기 혈압은 계속 증가하는 반면, 이완기 혈압은 오히려 감소하는 경향이 있습니다. 이로 인해 심혈관계 부담과 합병증 위험은 더욱 높아지게 됩니다. 따라서 수축기 혈압만 정상 범위여도 방심해서는 안 됩니다."
5,고혈압,"주제: 고혈압\n 내용: 연령에 따른 수축기/이완기 혈압 분포 (남녀 비교 포함). 연령대가 높아질수록 남녀 모두 수축기 혈압이 꾸준히 상승합니다. 이완기 혈압은 60대 이후부터 감소하기 시작하며, 이는 남성과 여성 모두에게 나타나는 현상입니다. 그래프 상에서도 수축기 혈압은 70대 이상에서 140mmHg 근처까지 상승하며, 이완기 혈압은 70대에 이르면 70mmHg 이하로 떨어집니다."
6,고혈압,"주제: 고혈압\n 내용: 고혈압의 분류: 본태성 고혈압. 고혈압 환자의 약 95%는 뚜렷한 원인이 없는 본태성 고혈압에 해당합니다. 이 유형은 나이, 가족력과 같은 조절할 수 없는 요인과, 식습관이나 운동 부족 같은 조절 가능한 생활습관 요인이 모두 영향을 줍니다. 명확한 기저 질환 없이 발생하며, 유전적 소인과 환경적 요인의 복합 작용으로 설명됩니다."
7,고혈압,"주제: 고혈압\n 내용: 고혈압의 분류: 이차성 고혈압. 이차성 고혈압은 신장질환이나 내분비 이상 등 특정 질환으로 인해 발생하는 고혈압을 말합니다. 원인을 제거하거나 조절하면 혈압도 호전되므로, 조기 진단과 치료가 중요합니다. 일반적으로 수술이나 약물로 치료가 가능한 경우가 많아, 젊은 나이에서 발견된 고혈압일 경우 반드시 원인 질환을 감별해야 합니다."
8,고혈압,"주제: 고혈압\n 내용: 고혈압의 주요 위험 요인 – 인구학적 및 유전적 요인. 성별: 남성이 여성보다 고혈압 위험이 높음. 연령: 남성은 55세 이상, 여성은 65세 이상부터 위험 증가. 가족력: 부모·형제·자매 중 고혈압 병력이 있을 경우 특히 주의 필요. 특히 가족력이 있는 경우 젊은 나이에도 조기 진단이 필요합니다."
9,고혈압,"주제: 고혈압\n 내용: 고혈압의 정의 및 정상혈압 기준. 고혈압은 수축기 혈압이 140mmHg 이상 또는 이완기 혈압이 90mmHg 이상일 때로 정의됩니다. 정상혈압은 수축기 < 120mmHg, 이완기 < 80mmHg일 때이며, 이는 심혈관 질환 발생 위험이 가장 낮은 이상적인 혈압입니다. 고혈압 전단계는 향후 고혈압으로 발전할 가능성이 높으므로, 이 시기부터 적극적인 예방이 중요합니다."
10,고혈압,"주제: 고혈압\n 내용: 고혈압의 진단 분류 기준표 (수축기 / 이완기 혈압). 
정상혈압: 수축기 < 120, 그리고 이완기 < 80.
고혈압 전단계 1기: 수축기 120–129 또는 이완기 80–84. 
고혈압 전단계 2기: 수축기 130–139 또는 이완기 85–89. 
고혈압 1기: 수축기 140–159 또는 이완기 90–99. 
고혈압 2기: 수축기 ≥160 또는 이완기 ≥100. 
수축기 단독 고혈압: 수축기 ≥140, 이완기 < 90.
이 기준은 2013년 대한고혈압학회 진료지침에 따름"
11,고혈압,"주제: 고혈압\n 내용: 고혈압 치료의 일반적 목표 혈압
일반 치료 목표: 140/90 mmHg 미만
우선 목표: 수축기 혈압 150mmHg 미만 (조절이 어려운 경우)
→ 단, 고령이 아닌 일반 성인이나 마찬가지 기준 적용
치료 목표는 혈압 조절 가능성과 환자의 전반적 건강 상태에 따라 달라질 수 있습니다."
12,고혈압,"주제: 고혈압\n 내용: 특수 대상별 고혈압 목표 혈압
노인 고혈압 환자
· 80세 미만: 140/90 mmHg 미만
· 80세 이상: 150/90 mmHg 미만
임신성 고혈압: 150/100 mmHg 미만
당뇨병 동반 환자: 140/85 mmHg 미만
심혈관질환, 관상동맥질환 동반 환자: 140/90 mmHg 미만
만성콩팥병 환자: 140/90 mmHg 미만
(단, 단백뇨 있는 경우는 130/80 mmHg 미만)
이러한 특수 집단에서는 보다 엄격하거나 유연한 목표 설정이 필요합니다."
13,고혈압,"주제: 고혈압\n 내용: Q. 증상이 없는데 왜 고혈압 치료를 해야 하나요? A. 고혈압은 증상이 없는 경우가 많아 치료의 중요성을 간과하기 쉽습니다. 특히 30~40대 젊은 연령층은 증상이 없거나 본인이 고혈압인지조차 모르는 경우도 흔합니다. 하지만 고혈압 치료는 단순히 증상 완화를 위한 것이 아니라, 장기적으로 심혈관계 합병증(뇌졸중, 심부전 등)을 예방하기 위함입니다. 고혈압이 있으면 혈관의 손상과 경직도가 증가하고, 이는 합병증 위험을 2.5배 이상 높입니다. 따라서 증상이 없더라도 주기적인 혈압 측정과 적절한 치료가 반드시 필요합니다.
"
14,고혈압,"주제: 고혈압\n 내용: Q. 고혈압의 증상은 무엇인가요? 고혈압이면 목이 뻣뻣한가요? A. 일반적으로 고혈압 자체로 인한 뚜렷한 증상은 거의 없습니다. 목이 뻣뻣하거나 두통이 있는 경우는 대부분 긴장성 두통이나 스트레스 관련 증상이며, 고혈압과 직접적인 관련이 없는 경우가 많습니다. 일부 환자에서는 두통, 어지러움, 성기능 저하, 코피 등이 나타날 수 있지만, 이들은 고혈압의 특징적 증상이라기보다는 다른 질환이나 환경적 요인에 의한 가능성도 있기 때문에 고혈압은 무증상 질환으로 간주됩니다."
15,고혈압,"주제: 고혈압\n 내용: Q. 혈압약을 계속 복용하면 신장 기능이 나빠지나요? A. 아니요. 혈압약 자체가 신장을 나쁘게 만든다는 인식은 잘못된 상식입니다. 오히려 혈압이 제대로 조절되지 않을 경우 신장의 미세혈관 손상이 누적되어 **신장기능 저하(신부전)**가 발생할 수 있습니다. 따라서 혈압 조절은 신장 보호에도 매우 중요하며, 약물 복용은 적극 권장됩니다. 혈압약은 의학적으로 신장 기능을 보호하는 데 도움이 되는 경우가 많습니다."
16,고혈압,"주제: 고혈압\n 내용: Q. 혈압약을 먹으면 정력이 감퇴되나요? A. 일부 성기능 저하(발기부전)는 고혈압 자체나 약물의 영향으로 일시적으로 발생할 수 있습니다. 특히 동맥경화가 진행된 경우, 혈압이 낮아지면 일시적으로 발기 기능이 저하될 수 있습니다. 그러나 대부분의 경우 혈압이 조절되면서 기능은 회복되며, 약물 선택을 조정하거나 생활습관을 개선하면 충분히 해결 가능합니다. 따라서 혈압 조절을 포기하기보다 금연, 저염식, 운동 등의 비약물 요법과 병행하여 치료하는 것이 중요합니다."
17,고혈압,"주제: 고혈압\n 내용: Q. 노인도 고혈압 치료를 받아야 하나요? A. 노인은 혈압이 높아도 치료하지 않아도 된다고 생각하기 쉽지만, 실제로 고령에서 뇌졸중, 심장병 등 합병증이 더 자주 발생합니다. 연구에 따르면 고혈압 치료를 받은 노인은 젊은 사람보다 뇌졸중이 약 30%, 심부전이 약 15% 더 줄어듭니다. 또한 고혈압은 인지기능 저하, 낙상 등의 위험과도 관련이 있어 노인에게 더욱 중요합니다. 따라서 나이가 많더라도 상태에 맞게 조절하며 치료를 받는 것이 매우 중요합니다."
18,고혈압,"주제: 고혈압\n 내용: Q. 고혈압의 원인은 유전인가요? 생활습관으로 예방할 수 있나요? A. 고혈압은 유전적 요인의 영향도 있으나, 후천적 생활습관 요인이 훨씬 더 중요합니다. 전체 고혈압의 약 80%는 잘못된 식습관, 운동 부족, 비만, 스트레스와 관련된 환경적 요인으로 발생합니다. 정상 체중을 유지하고 저염식, 금연, 적절한 운동을 실천하면 고혈압을 충분히 예방하거나 늦출 수 있습니다. 특히, BMI가 25를 넘지 않게 유지하고, 규칙적으로 운동하는 사람은 고혈압 발생 위험이 크게 감소합니다."
19,고혈압,"주제: 고혈압\n 내용: 고혈압 예방 수칙 ① – 음식을 싱겁게 먹습니다
고혈압 예방 수칙 ② – 적정 체중과 허리둘레를 유지합니다
고혈압 예방 수칙 ③ – 과일과 채소를 섭취합니다
고혈압 예방 수칙 ④ – 규칙적으로 운동합니다
고혈압 예방 수칙 ⑤ – 금연합니다
고혈압 예방 수칙 ⑥ – 절주합니다
고혈압 예방 수칙 ⑦ – 정기적으로 혈압을 측정하고 경과를 관찰합니다
가정혈압이나 병원 진료 시 혈압을 지속적으로 확인하는 것은 조기 발견과 치료에 매우 중요합니다. 특히 고위험군이나 가족력이 있는 경우, 정기적인 혈압 측정은 필수입니다."
20,고혈압,"주제: 고혈압\n 내용: 고혈압 예방 수칙 ① – 싱겁게 먹습니다 (실천 항목). 싱겁게 먹는 것은 고혈압 예방과 관리의 핵심 수칙 중 하나입니다. 실천 방법은 다음과 같습니다: 소금의 1일 권장 섭취량(4g, 나트륨 2g)을 알고 실천합니다. 평소 식단에서 얼마나 짜게 먹고 있는지 확인합니다. 가공식품, 국물류 섭취를 줄이고, 저염식 조리법을 익혀 사용합니다. 외식 시에도 싱겁게 먹는 노력을 지속하며, 배운 내용을 가족과 공유합니다. "
21,고혈압,"주제: 고혈압\n 내용: 싱겁게 먹는 것과 고혈압 예방의 과학적 근거. 한국인은 하루 평균 소금 약 10g을 섭취하며, 이는 권장량인 6g보다 훨씬 많습니다. 고혈압 환자가 싱겁게 먹을 경우, 수축기 혈압은 평균 5.1mmHg, 이완기 혈압은 평균 2.7mmHg 감소합니다. 소금 섭취를 줄이면 심혈관 합병증 발생률도 감소합니다. 특히, 고혈압 가족력이 있는 사람이나 당뇨병·비만 환자에게는 더욱 강력한 혈압 조절 효과가 있습니다. 짠맛에 대한 감수성이 높은 사람일수록 저염식 식단의 효과가 더 뚜렷합니다."
22,고혈압,"주제: 고혈압\n 내용: 소금의 1일 권장 섭취량을 압니다. 싱겁게 먹으면 혈압을 낮추는 데 도움이 됩니다. 1일 권장 소금 섭취량은 약 6g, 나트륨 기준으로 **2.4g (나트륨 × 2.5 = 소금)**입니다. 하루 소금 섭취는 **티스푼 1개 분량(약 6g)**을 넘지 않도록 주의합니다. TIP: 라면·국·찌개 등 국물 위주의 음식은 소금 함량이 높아, 식습관 점검이 필요합니다."
23,고혈압,"주제: 고혈압\n 내용: 싱겁게 먹는 방법을 알고, 항상 실천합니다. 국물은 적게 먹습니다. 밥을 국에 말아 먹지 않고 따로 먹습니다. 식사 시 **추가 간(소금, 간장, 장류)**을 하지 않습니다. 김치·젓갈·장아찌 등 염분 높은 반찬은 적게 먹습니다. 반찬가게에서 짠 반찬은 구매하지 않도록 주의합니다. 가공식품 대신 자연식·저염식 재료로 요리합니다."
24,고혈압,"주제: 고혈압\n 내용: 내가 얼마나 짜게 먹고 있는지 확인합니다. 보건소, 고혈압 등록센터 등에서 ‘나트륨 섭취 교육’이나 요오드 테스트를 받을 수 있습니다. 평소 먹는 음식의 염도를 확인하고, 간편하게 재보는 교육 도구(염도계, 앱 등)를 활용합니다. 직접 내가 먹는 반찬, 국의 염도를 측정하고 습관을 점검하는 것이 핵심입니다."
25,고혈압,"주제: 고혈압\n 내용: 저염식 반찬 만드는 법을 배우고, 배운 대로 조리합니다. 지역사회 교육 프로그램(예: 보건소 요리교실)을 통해 저염식 조리법을 배웁니다. 김치, 찌개 등을 저염으로 만드는 실습은 실생활 적용에 효과적입니다. 다시마, 양파, 과일 등 천연 재료로 감칠맛을 내는 조리법을 배웁니다. TIP: 조림류, 장류, 젓갈, 고추장 등은 염도와 나트륨 함량이 높으므로 적절히 제한해야 합니다."
26,고혈압,"주제: 고혈압\n 내용: Q: 싱겁게 조리하면 많이 먹어도 되나요? A: 싱겁게 조리했더라도 음식을 많이 먹으면 결과적으로 소금 섭취량이 증가할 수 있습니다. 특히 국물 음식의 경우, 짠맛이 덜하더라도 섭취량이 많아지면 전체 나트륨 섭취가 늘어나므로 주의가 필요합니다. ""싱겁게 먹는다""는 것이 곧 ""많이 먹어도 된다""는 뜻은 아닙니다."
27,고혈압,"주제: 고혈압\n 내용: Q: 외식 시 올바른 식사 주문 방법은 무엇인가요? A: 일반적으로 외식은 맛을 위해 여러 재료와 조미료가 많이 사용됩니다. 따라서 집에서 만든 음식에 비해 염분, 지방, 당분 함량이 높을 가능성이 큽니다. 또한 음식의 영양정보를 확인하거나 조절하기 어려워 짠 음식 과잉 섭취로 이어지기 쉽습니다. 특히 국물류 위주의 외식(찌개, 국밥 등)은 나트륨 섭취량이 급증할 수 있습니다."
28,고혈압,"주제: 고혈압\n 내용: TIP: 외식 시 올바른 식사 주문 실천 방법. 채소 기반 메뉴 또는 다양한 재료로 만든 메뉴를 선택합니다. 음식을 미리 계획하고, 양념이 많은 음식은 주로 피합니다. 튀김보단 찜, 국보단 전골, 구운 요리를 선택합니다. 양념은 따로 달라고 요청하거나, 간이 약한 음식을 주문합니다. 국물은 되도록 남기고, 덜 짠 반찬을 추가로 요청합니다. 식사 전 메뉴의 영양 성분이나 나트륨 표시 여부를 확인하고 선택합니다. 외식 시에도 싱겁게 먹는 원칙을 잊지 말고, 식사 후 혈압 관리를 병행합니다."
29,고혈압,"주제: 고혈압\n 내용: Q: 짜게 먹으면 혈압이 높아지나요? 싱겁게 먹는 게 고혈압 치료에 도움이 되나요? A: 네. 일반적으로 짜게 먹을수록 혈압이 증가하고, 싱겁게 먹으면 혈압을 낮출 수 있습니다. 염분에 따라 혈압이 상승하는 정도는 개인차가 있으나, 소금 섭취를 줄이면 혈압이 감소하는 효과가 명확히 입증되어 있습니다. 따라서 고혈압 환자뿐 아니라 고혈압을 예방하려는 사람도 의식적으로 소금 섭취를 줄이는 습관이 필요합니다."
30,고혈압,"주제: 고혈압\n 내용: 고혈압 예방 수칙 ② – 적정 체중과 허리둘레를 유지합니다 (실천 항목) 정기적으로 체중과 허리둘레를 측정하고, 적정 체중을 유지하는 습관을 기릅니다. 식사량을 조절하고, 신체 활동을 늘려 에너지 균형을 유지합니다. 특히 비만, 당뇨병, 이상지질혈증, 좌식생활 습관이 있는 사람은 복부비만 관리가 중요합니다. 체중 감량은 혈압 조절뿐 아니라 심혈관 질환 예방에도 효과적입니다."
31,고혈압,"주제: 고혈압\n 내용: 관련 상식 – 체중과 혈압의 과학적 관계. 체중과 혈압은 밀접하게 연관되어 있으며, 과체중·비만일수록 고혈압 위험이 2~6배 증가합니다. 복부 비만은 심혈관 질환, 이상지질혈증, 당뇨병, 뇌졸중과 밀접한 관련이 있으며, 허리둘레는 남성 90cm 이상, 여성 85cm 이상이면 위험 요인입니다. 고혈압 환자가 체중을 1kg 감량하면 수축기 혈압 1.1mmHg, 이완기 혈압 0.9mmHg 정도 감소합니다. 체중 조절과 신체 활동을 함께 병행하면 혈압, 혈당, 혈중 지질 모두 개선될 수 있습니다."
32,고혈압,"주제: 고혈압\n 내용: 정기적으로 체중과 허리둘레를 확인하고, 적정 체중을 유지합니다. 
표준체중 계산법. 
· 남성: 키(m) × 키(m) × 22
· 여성: 키(m) × 키(m) × 21
BMI 목표: 25kg/m² 미만 유지
· 25~30kg/m²이면 과체중, 30kg/m² 이상이면 고도비만으로 고혈압 위험 상승
허리둘레 목표
· 남성: 90cm(35인치) 미만
· 여성: 85cm(33인치) 미만"
33,고혈압,"주제: 고혈압\n 내용: 식사를 조절하고 신체 활동량을 늘려 적정 체중을 유지합니다. 균형 잡힌 식단 + 신체 활동을 통해 체중 감량 또는 유지
하루 필요 열량 계산법:
· 육체활동 거의 없음 → 표준체중 × 2530kcal
· 보통 활동 수준 → 표준체중 × 3035kcal
· 활동량 많음 → 표준체중 × 35~40kcal
예시: 키 165cm 남성
· 표준체중 = 1.65² × 22 ≈ 60kg
· 열량 필요량 = 60kg × 3035 = 18002100kcal
감량이 필요할 경우 기초대사량에서 300~500kcal 감량한 수준을 목표로 설정"
34,고혈압,"주제: 고혈압\n 내용: TIP – 체중 감량 및 유지에 필요한 식사 요령. 군것질 및 야식 줄이기. 고지방, 고열량 음식 섭취 줄이기. 배고프지 않아도 먹는 습관 교정하기. 섬유질이 많은 식사 구성 (과일, 채소, 잡곡 등). 음식은 천천히, 꼭꼭 씹어 먹기. 외식 시 조리법과 염도 확인하기 (튀김보단 찜, 국물은 남기기). 탄산음료, 당류 섭취 줄이기. 저염·저지방·고섬유질 식단을 지향하고, 영양성분표를 확인하는 습관 들이기"
35,고혈압,"주제: 고혈압\n 내용: 신체 활동을 늘리는 요령. 규칙적인 운동이 어려운 경우 매일매일 일상생활 속에서 신체 활동량을 조금씩 늘려 갑니다. 가까운 거리는 걸어서 이동합니다. 가능하면 빠르게 걷기를 5~10분 정도 자주 반복합니다. 승강기를 타는 대신 계단을 이용해 운동량을 조금이라도 늘립니다. 텔레비전을 보면서 한 자세에 가만히 앉아 있지 않고 일어서서 가볍게 몸을 움직이며 활동하거나, 제자리에서 스트레칭하는 습관을 가집니다. 운동 장비가 갖추어진 동네 공원에서 매일 산책 겸 가볍게 신체 활동량을 늘립니다. 근처에 무료로 운영하는 운동 프로그램이 있을 경우 빠지지 않고 열심히 참여합니다. 지역사회 혹은 보건소에서 제공하는 교육 프로그램에 열심히 참여합니다. 과체중이 심각하거나 허리둘레 치수가 클 경우 병·의원을 방문해서 의사에게 식사와 운동에 대한 전문적인 상담을 받고, 권고 내용대로 꾸준히 관리합니다."
36,고혈압,"주제: 고혈압\n 내용: Q: 고혈압과 비만은 어떤 관계가 있나요? A: 고혈압은 체중과 밀접한 관계가 있고, 살이 쪄서 체중이 늘면 혈압이 올라갑니다. 반대로 체중을 줄이면 혈압이 낮아집니다. 지방이 많은 비만보다 **복부비만(내장지방형 비만)**일수록 고혈압 위험이 높습니다. 고혈압과 관련된 연구에 따르면, 5 kg 정도의 체중을 줄이면 뚜렷한 혈압 감소 효과를 얻을 수 있는데, 체중 1 kg을 줄이면 수축기/이완기 혈압은 약 1.1/0.9 mmHg가 감소됩니다."
37,고혈압,주제: 고혈압\n 내용: Q: 김치를 많이 먹는 것이 채소 섭취를 늘리는 것인가요? A: 김치는 소금에 절여 양념을 한 식품으로 나트륨 성분이 많이 포함되어 있기 때문에 고혈압을 가진 사람은 짜게 먹지 않는 김치 섭취 방법을 알아야 합니다. 비타민과 섬유소 등이 고루 들어 있는 채소를 많이 먹는 것이 더 좋습니다.
38,고혈압,"주제: 고혈압\n 내용: 셋째, 과일과 채소를 섭취합니다. 실천 항목. 매일의 일상 식단을 점검하고, 필요할 경우 적절히 보충합니다. 혈압을 낮추는 식사를 일상화하고, 저지방 유제품을 곁들여 식단을 구성합니다. 과일과 채소 섭취를 강조합니다. 
관련 상식 들여다보기. 채식주의자들은 육식을 주로 하는 사람들보다 혈압이 낮으며, 고혈압 환자도 채식 위주의 식사를 유지하면 혈압이 낮아집니다. 이런 효과는 단백질을 섭취하지 않아서라기보다는 과일, 채소, 섬유질의 섭취가 늘고 포화지방산 섭취가 줄었기 때문입니다. 고혈압 환자에게 혈압을 낮추기 위한 식사 요법인 DASH(Dietary Approaches to Stop Hypertension)처럼 과일, 채소, 저지방 유제품 섭취를 늘리고, 지방과 콜레스테롤 섭취를 줄이는 식사가 도움이 됩니다. 수축기 혈압 120~159, 이완기 혈압 80~95 mmHg인 경우 DASH 식사를 섭취하면 혈압을 5~6/3 mmHg 정도 낮출 수 있습니다. 당뇨병이 있고 3개 이상의 심혈관 위험 인자가 있는 환자가 지중해식으로 음식을 섭취하면 혈압을 67/23 mmHg 낮출 수 있으며, 건강한 사람도 혈압을 23/12 mmHg 낮출 수 있습니다. 생선을 규칙적으로 섭취하면 비만인 고혈압 환자의 혈압은 더 크게 낮아지고 지질대사가 개선되는 효과가 나타납니다."
39,고혈압,"주제: 고혈압\n 내용: 고혈압 예방을 위한 식사법을 알고, 실천합니다. 신선한 과일과 채소를 매일 충분히 먹습니다. 저지방 유제품, 전곡, 가금, 생선, 견과류 등을 많이 먹습니다. 설탕 등 단순 당의 섭취를 줄입니다. 포화지방산 및 총 지방 섭취량을 줄입니다. 감미료나 설탕이 함유된 음료, 붉은 고기 등을 적게 먹습니다. "
40,고혈압,"주제: 고혈압\n 내용: 혈압을 낮추는 식단을 알고, 필요할 경우 적절히 활용합니다. 고혈압을 낮추기 위한 DASH 식사 요법 식습관을 가집니다. DASH(Dietary Approaches to stop hypertension)란 고혈압 치료를 위한 식사 요법 중의 하나로 음식 중 포화지방, 콜레스테롤, 총 지방 함량은 줄이고 칼륨, 마그네슘, 칼슘, 단백질, 섬유소 함량은 늘릴 수 있는 식사 요법입니다.
"
41,고혈압,"주제: 고혈압\n 내용: 고혈압을 낮추기 위한 DASH 식사 요법. 포화지방산 및 콜레스테롤, 지방 등의 총량을 줄입니다. 과일, 채소, 저지방 유제품 섭취를 늘립니다. 전곡류를 통하여 식이섬유 섭취를 늘립니다. 소금은 1일 6g 이하로 줄입니다. 간식 및 설탕이 함유된 식품 섭취를 줄입니다.
지중해식 식단을 유지하며, 최소 주 2회는 생선을 먹습니다. 신선한 과일, 녹황색 채소, 전곡, 오메가-3-지방산이 풍부한 기름진 생선 섭취를 늘립니다. 저지방 또는 무지방 유제품, 견과류, 올리브 또는 카놀라 오일, 평지씨, 나아마씨로 만든 마가린 등을 섭취합니다. 붉은 고기 섭취는 줄입니다.
"
