"도서관 일련번호","도서관명","구 코드","구명","주소","전화번호","홈페이지 URL","운영시간","정기 휴관일","도서관 구분","도서관 구분명","위도","경도"
"1935","강남구립못골도서관","0008","강남구","서울특별시 강남구 자곡로 116","02-459-5522","http://library.gangnam.go.kr/mglib","평일 : 09:00~22:00, 주말 : 09:00~22:00","매주 화요일 및 법정공휴일","0001","공공도서관","37.47153836","127.096582"
"1066","강남역삼푸른솔도서관","0008","강남구","서울특별시 강남구 테헤란로8길 36. 4층","02-2051-1178","https://library.gangnam.go.kr/ysplib/index.do","평일 : 09:00~18:00, 주말 : 09:00~17:00","매주 화요일 및 법정 공휴일","0001","공공도서관","37.4964968","127.0320274"
"2815","개포하늘꿈도서관","0008","강남구","서울특별시 강남구 개포로 110길 54","02-451-1511","https://library.gangnam.go.kr/hnkklib/","평일 : 09:00~22:00, 주말 : 09:00~17:00","매주 화요일 및 법정공휴일","0001","공공도서관","37.4906692944468","127.080356908422"
"48","논현도서관","0008","강남구","서울특별시 강남구 학동로43길 17(논현동) 논현2동주민센터 6층","02-3443-7650","https://library.gangnam.go.kr/nhlib","평일 : 09:00~22:00, 주말 : 09:00~17:00","매주 화요일 및 법정공휴일","0001","공공도서관","37.5172779092976","127.037187913597"
"2843","논현문화마루도서관","0008","강남구","서울특별시 강남구 논현로131길 40, 4~5층","02-512-8580","https://library.gangnam.go.kr/nmmlib","평일 : 09:00~18:00, 주말 : 09:00~17:00","매주 월요일 및 법정공휴일","0001","공공도서관","37.51384422","127.02710693"
"49","대치도서관","0008","강남구","서울특별시 강남구 삼성로 212 은마아파트 복지상가 2층 215호","02-565-6666","https://library.gangnam.go.kr/dchlib/index.do","평일 : 09:00~21:00. 주말 : 09:00~17:00 ","매주 화요일 및 법정공휴일","0001","공공도서관","37.4996157705058","127.065915414443"
"1402","도곡정보문화도서관","0008","강남구","서울특별시 강남구 도곡로18길 57","1644-3227","https://library.gangnam.go.kr/dogoklib","평일 : 09:00~22:00, 주말 : 09:00~17:00","매주 월요일 및 법정공휴일","0001","공공도서관","37.4883101","127.0388803"
"2133","못골한옥어린이도서관","0008","강남구","서울특별시 강남구 자곡로7길 3?","02-2226-5930","https://library.gangnam.go.kr/hchildlib/index.do","평일 : 09:00~18:00, 주말 : 09:00~17:00","매주 월요일 및 법정공휴일","0001","공공도서관","37.4733061524019","127.099727862691"
"21","서울특별시교육청강남도서관","0008","강남구","서울특별시 강남구 선릉로116길 45","02-3448-4741~5","https://gnlib.sen.go.kr","평일 : 09:00~20:00, 주말 : 09:00~17:00","1,3주 수요일 및 법정공휴일","0001","공공도서관","37.51368143","127.0468374"
"22","서울특별시교육청개포도서관","0008","강남구","서울특별시 강남구 선릉로4길 30","02-3460-8200","https://gplib.sen.go.kr","평일 : 09:00~20:00, 주말 : 09:00~17:00","2,4주 목요일 및 법정공휴일","0001","공공도서관","37.48308019","127.063867"
"81","역삼도서관","0008","강남구","서울특별시 강남구 역삼로7길 16, 5층","02-508-1139","http://library.gangnam.go.kr/yslib","평일 : 09:00~22:00, 주말 : 09:00~17:00","매주 월요일 및 법정 공휴일","0001","공공도서관","37.4953732068069","127.033283840382"
"2717","열린도서관","0008","강남구","서울특별시 강남구 일원로 115 삼성생명빌딩 B동 203호","02-3412-3970","https://library.gangnam.go.kr/yllib/","평일 : 09:00~22:00, 주말 : 09:00~17:00","매주 월요일 및 법정공휴일","0001","공공도서관","37.4840224010593","127.084459720088"
"2760","일원라온영어도서관","0008","강남구","서울특별시 강남구 영동대로 22 B1(일원동 743)","02-6712-0595","https://library.gangnam.go.kr/englib/index.do","평일 : 09:00~18:00, 주말 : 09:00~17:00","매주 월요일 및 법정공휴일","0001","공공도서관","37.4910941147932","127.074163955752"
"52","정다운도서관","0008","강남구","서울특별시 강남구 학동로67길 11 3층","02-512-9326","https://library.gangnam.go.kr/jdwlib","평일 : 09:00~22:00, 주말 : 09:00~17:00","매주 화요일 및 법정공휴일","0001","공공도서관","37.5190987146919","127.046440886765"
"51","즐거운도서관","0008","강남구","서울특별시 강남구 도곡로77길 23 4층","02-565-7533","https://library.gangnam.go.kr/jgwlib/","평일 : 09:00~22:00. 주말 : 09:00~17:00","매주 월요일 및 법정공휴일","0001","공공도서관","37.499729738243","127.05784954077"
"47","청담도서관","0008","강남구","서울특별시 강남구 압구정로79길 26 청담주민센터 7층","02-540-7042","https://library.gangnam.go.kr/cdlib","평일 : 09:00~22:00, 주말 : 09:00~17:00","매주 월요일 및 법정공휴일","0001","공공도서관","37.52509298","127.0492914"
"53","행복한도서관","0008","강남구","서울특별시 강남구 영동대로65길 24(대치2문화센터 3층)","02-567-3833","http://library.gangnam.go.kr/happylib","평일 : 09:00~22:00, 주말 : 09:00~17:00","매주 화요일 및 법정공휴일","0001","공공도서관","37.50230515","127.0641886"
"105","강동구립강일도서관","0010","강동구","서울특별시 강동구 아리수로 93길 9-14","02-427-4004","http://www.gdlibrary.or.kr","평일 : 09:00~22:00, 주말 : 09:00~17:00","매주 화요일 및 법정 공휴일","0001","공공도서관","37.56504077","127.1739073"
"2757","강동구립도서관","0010","강동구","서울특별시 강동구 동남로 870(상일동) 강동문화재단","02-2045-7915","https://www.gdlibrary.or.kr/","","","0001","공공도서관","37.5512204558342","127.157342546961"
"2699","강동구립둔촌도서관","0010","강동구","서울특별시 강동구 동남로49길 21-8","02-489-6557","http://www.gdlibrary.or.kr","평일 : 09:00~18:00, 주말 : 09:00~17:00","매주 화요일 및 법정 공휴일","0001","공공도서관","37.5317867939007","127.148160430097"
"63","강동구립성내도서관","0010","강동구","서울특별시 강동구 성안로 106-1","02-471-0044","http://www.gdlibrary.or.kr","평일 : 09:00~20:00, 주말 : 09:00~17:00","매주 월요일 및 법정 공휴일","0001","공공도서관","37.5328454696729","127.133342998226"
"1067","강동구립암사도서관","0010","강동구","서울특별시 고덕로 20길 42 (암사동 471-37)","02-429-0476","http://www.gdlibrary.or.kr","평일 : 09:00~22:00, 주말 : 09:00~17:00","매주 월요일 및 법정 공휴일","0001","공공도서관","37.5528330245657","127.133365473246"
"1971","강동구립천호도서관","0010","강동구","서울특별시 강동구 성안로 31마길 1(천호3동 제2공영주차장 지상 2층)","02-488-7223","http://www.gdlibrary.or.kr","평일 : 09:00~18:00, 주말 : 09:00~17:00","매주 월요일 및 법정 공휴일","0001","공공도서관","37.5405232247297","127.134081513483"
"96","강동구립해공도서관","0010","강동구","서울특별시 강동구 올림픽로 702","02-478-9656","http://www.gdlibrary.or.kr","평일 : 09:00~22:00, 주말 : 09:00~17:00","매주 화요일 및 법정 공휴일","0001","공공도서관","37.5439476727563","127.125538378702"
"78","명성교회도서관","0010","강동구","서울특별시 강동구 상암로51길 8","02-440-9140","http://www.mslib.or.kr","평일 : 10:00~18:00, 주말 : 10:00~17:30","매주 월요일","0001","공공도서관","37.5469077327424","127.146275226611"
"24","서울특별시교육청강동도서관","0010","강동구","서울특별시 강동구 양재대로116길 57","02-2225-9800~3","http://gdlib.sen.go.kr","평일 : 09:00~20:00, 주말 : 09:00~17:00","1,3주 목요일 및 법정공휴일","0001","공공도서관","37.53815107","127.1434874"
"25","서울특별시교육청고덕평생학습관","0010","강동구","서울특별시 강동구 고덕로 295 (고덕2동 296)","02-6902-2600","http://gdllc.sen.go.kr","평일 : 09:00~20:00, 주말 : 09:00~17:00","2,4주 월요일 및 법정공휴일","0001","공공도서관","37.5561204084687","127.158039363963"
"32","강북문화정보도서관","0021","강북구","서울특별시 강북구 오현로 145","02-944-3100","https://www.gblib.or.kr/gangbuk/","평일 : 07:00~22:00, 주말 : 07:00~22:00","매월 둘째/넷째 월요일 및 법정공휴일","0001","공공도서관","37.6251151","127.0360795"
"33","강북청소년문화정보도서관","0021","강북구","서울특별시 강북구 삼양로54길 68","02-944-3140","https://www.gblib.or.kr/youth/","평일 : 07:00~22:00, 주말 : 07:00~22:00","매월 둘째/넷째 월요일 및 법정공휴일","0001","공공도서관","37.62307414","127.0215511"
"1378","미아문화정보도서관","0021","강북구","서울특별시 강북구 솔매로49길 14","02-944-3180","https://www.gblib.or.kr/mia/","평일 : 07:00~22:00, 주말 : 07:00~22:00","매월 둘째/넷째 월요일 및 법정공휴일","0001","공공도서관","37.62709228","127.0269757"
"2134","삼각산어린이도서관","0021","강북구","서울특별시 강북구 삼양로19길 34","02-944-3190","https://www.gblib.or.kr/kids/","평일 : 09:00~18:00, 주말 : 09:00~17:00","매월 둘째/넷째 월요일 및 법정공휴일","0001","공공도서관","37.6151482159574","127.020742108822"
"34","솔샘문화정보도서관","0021","강북구","서울특별시 강북구 솔샘로 177","02-944-3150","https://www.gblib.or.kr/solsem/","평일 : 07:00~22:00, 주말 : 07:00~22:00","매월 첫째/셋째 월요일 및 법정공휴일","0001","공공도서관","37.6204776505226","127.012402476037"
"170","송중문화정보도서관","0021","강북구","서울특별시 강북구 도봉로20나길 6","02-944-3160","https://www.gblib.or.kr/songjung/","평일 : 07:00~22:00, 주말 : 07:00~22:00","매월 첫째/셋째 월요일 및 법정공휴일","0001","공공도서관","37.6183131249716","127.029937564663"
"176","수유문화정보도서관","0021","강북구","서울특별시 강북구 삼양로 299","02-944-3170","https://www.gblib.or.kr/suyu/","평일 : 07:00~22:00, 주말 : 07:00~22:00","매월 첫째/셋째 월요일 및 법정공휴일","0001","공공도서관","37.63005160395","127.017559390621"
"1838","가양도서관","0001","강서구","서울특별시 강서구 양천로61길101(가양동 1493)","02-3665-8797","http://lib.gangseo.seoul.kr","평일 및 토요일 : 09:00~22:00, 일요일 : 09:00~18:00","매주 월요일 및 법정 공휴일","0001","공공도서관","37.55994851","126.8655346"
"1398","강서영어도서관","0001","강서구","서울특별시 강서구 곰달래로57가길 26","02-2061-2270","http://lib.gangseo.seoul.kr","평일 및 토요일 : 09:00~22:00, 일요일 : 09:00~18:00","매주 월요일 및 법정 공휴일","0001","공공도서관","37.53468572","126.8608018"
"1377","곰달래도서관","0001","강서구","서울특별시 강서구 강서로5길 50 (곰달래문화복지센터 5, 6층)","02-2065-3785","http://lib.gangseo.seoul.kr","평일 및 토요일 : 09:00~22:00, 일요일 : 09:00~18:00","매주 월요일 및 법정 공휴일","0001","공공도서관","37.52905938","126.8488976"
"60","길꽃어린이도서관","0001","강서구","서울특별시 강서구 금낭화로24길 5","02-2663-4764","http://lib.gangseo.seoul.kr","평일 및 토요일 : 09:00~22:00, 일요일 : 09:00~18:00","매주 월요일 및 법정 공휴일","0001","공공도서관","37.57871971","126.8136582"
"94","꿈꾸는어린이도서관","0001","강서구","서울특별시 강서구 공항대로 615","02-3663-4025","http://lib.gangseo.seoul.kr","평일 및 토요일 : 09:00~22:00, 일요일 : 09:00~18:00","매주 월요일 및 법정 공휴일","0001","공공도서관","37.54733669","126.8733189"
"1395","등빛도서관","0001","강서구","서울특별시 강서구 강서로62길 48","02-3664-6990","http://lib.gangseo.seoul.kr/","평일 및 토요일 : 09:00~22:00, 일요일 : 09:00~18:00","매주 월요일 및 법정 공휴일","0001","공공도서관","37.56245409","126.8423739"
"16","서울특별시교육청강서도서관","0001","강서구","서울특별시 강서구 등촌로51나길 29","02-3219-7000","http://gslib.sen.go.kr","평일 : 09:00~20:00, 주말 : 09:00~17:00","1,3주 금요일 및 법정공휴일","0001","공공도서관","37.5479003","126.8599262"
"1394","우장산숲속도서관","0001","강서구","서울특별시 강서구 우현로 34","02-2696-6689","http://lib.gangseo.seoul.kr","평일 및 토요일 : 09:00~22:00, 일요일 : 09:00~18:00","매주 월요일 및 법정 공휴일","0001","공공도서관","37.54828757","126.8418355"
"93","푸른들청소년도서관","0001","강서구","서울특별시 강서구 강서로45다길 71","02-2691-1630","http://lib.gangseo.seoul.kr","평일 및 토요일 : 09:00~22:00, 일요일 : 09:00~18:00","매주 월요일 및 법정 공휴일","0001","공공도서관","37.54467538","126.835182"
"43","관악중앙도서관","0005","관악구","서울특별시 관악구 신림로 3길 35","02-828-5700","http://lib.gwanak.go.kr","평일 : 07:00~23:00, 주말 : 07:00~22:00","매주 월요일 및 법정 공휴일","0001","공공도서관","37.46759816","126.9448714"
"44","글빛정보도서관","0005","관악구","서울특별시 관악구 관악로 30길 23","02-878-7460","http://lib.gwanak.go.kr","평일 : 09:00~22:00, 주말 : 09:00~22:00","매주 월요일 및 법정 공휴일","0001","공공도서관","37.4862426","126.9596701"
"45","성현동작은도서관","0005","관악구","서울특별시 관악구 관악로37길 56 동아아파트 상가B동 5층","02-877-7182-3","http://lib.gwanak.go.kr","평일 : 09:00~19:00, 주말 : 09:00~17:00","매주 월요일 및 법정 공휴일","0001","공공도서관","37.48731057","126.956182"
"1068","은천동작은도서관","0005","관악구","서울특별시 관악구 봉천로33나길 30","02-877-1162-4","http://lib.gwanak.go.kr","평일 : 09:00~20:00, 주말 : 09:00~17:00","매주 월요일 및 법정 공휴일","0001","공공도서관","37.48530503","126.9424097"
"1069","조원도서관","0005","관악구","서울특별시 관악구 조원로12길 25","02-851-5571","http://lib.gwanak.go.kr","평일 : 09:00~20:00, 주말 : 09:00~17:00","매주 월요일 및 법정 공휴일","0001","공공도서관","37.48256322","126.9077952"
"2842","광진어린이영어도서관","0024","광진구","서울특별시 광진구 천호대로136길 55 (구의동)","02-2049-2950","http://www.gwangjinlib.seoul.kr/","평일 : 09:00~18:00, 주말 : 09:00~18:00","매월첫째/셋째 화요일 및 법정/임시공휴일","0001","공공도서관","37.54716140","127.08992890"
"27","광진정보도서관","0024","광진구","서울특별시 광진구 아차산로78길 90(광장동)","02-3437-5092~5 ?","http://www.gwangjinlib.seoul.kr/","평일 : 09:00~22:00, 주말 : 09:00~18:00","매월둘째/넷째화요일 및 법정/임시공휴일","0001","공공도서관","37.5510729137918","127.110615495296"
"1397","구의제3동도서관","0024","광진구","서울특별시 광진구 강변역로 17(구의동)","02-454-6294","http://www.gwangjinlib.seoul.kr/","평일 : 09:00~20:00, 주말 : 09:00~18:00","매월둘째/넷째월요일 및 법정/임시공휴일","0001","공공도서관","37.53799119","127.0919832"
"2755","군자동도서관","0024","광진구","서울특별시 광진구 면목로 13 군자동복합청사 1층","02-2049-2960","http://www.gwangjinlib.seoul.kr/","평일 : 09:00~20:00, 주말 : 09:00~18:00","매월첫째/셋째화요일 및 법정/임시공휴일","0001","공공도서관","37.5554852103262","127.075349383615"
"2759","아차산숲속도서관","0024","광진구","서울특별시 광진구 영화사로 139","","http://www.gwangjinlib.seoul.kr/","평일 : 09:00~18:00, 주말 : 09:00~18:00","매주 화요일, 법정 공휴일, 임시 공휴일","0001","공공도서관","37.5524739995365","127.100815788808"
"97","자양제4동도서관","0024","광진구","서울특별시 광진구 뚝섬로26길 58 (자양동)","02-465-0737-8","http://www.gwangjinlib.seoul.kr/","평일 : 09:00~20:00, 주말 : 09:00~18:00","매월첫째/셋째화요일 및 법정/임시공휴일","0001","공공도서관","37.5341003","127.0662596"
"2177","자양한강도서관","0024","광진구","서울특별시 광진구 뚝섬로52길 66(자양동)","02-456-0048","http://www.gwangjinlib.seoul.kr/","평일 : 09:00~20:00, 주말 : 09:00~18:00","매월둘째/넷째월요일 및 법정/임시공휴일","0001","공공도서관","37.5292155199266","127.077667985801"
"99","중곡문화체육센터도서관","0024","광진구","서울 광진구 능동로 433","02-3408-4960","http://www.gwangjinlib.seoul.kr/","평일 : 09:00~22:00, 주말 : 09:00~18:00","매월첫째/셋째월요일 및 법정/임시공휴일","0001","공공도서관","37.5677792027828","127.08480243017"
"883","개봉도서관","0025","구로구","서울특별시 구로구 개봉로16길 30-11","02-2689-1695","http://lib.guro.go.kr","평일 : 09:00~22:00, 주말 : 09:00~22:00","매주 화요일 및 법정 공휴일","0001","공공도서관","37.49008228","126.8584998"
"2816","고척열린도서관","0025","구로구","서울 구로구 경인로43길 49","02-2615-2006","http://lib.guro.go.kr","평일 : 09:00~20:00, 주말 : 09:00~17:00","매주 월요일 및 법정 공휴일","0001","공공도서관","37.4990691887707","126.857532971967"
"880","구로구립온누리도서관","0025","구로구","서울특별시 구로구 구로중앙로27나길 9, 4층 (구로초등학교 온누리관)","02-858-9080","http://lib.guro.go.kr","평일 : 09:00~22:00, 주말 : 09:00~22:00","매주 화요일 및 법정 공휴일","0001","공공도서관","37.49751199","126.8854812"
"2135","구로기적의도서관","0025","구로구","서울특별시 구로구 구로중앙로40길 24(신도림동)","02-2632-8878","http://lib.guro.go.kr","평일 : 10:00~20:00, 주말 : 10:00~17:00","매주 월요일 및 법정 공휴일","0001","공공도서관","37.50673545","126.877376"
"41","구로꿈나무도서관","0025","구로구","서울특별시 구로구 구로동로26길 54, 2층 (구로구시설관리공단)","02-830-1623","http://lib.guro.go.kr","평일 : 10:00~19:00, 주말 : 10:00~17:00","매주 화요일 및 법정 공휴일","0001","공공도서관","37.50622215","126.8920012"
"2876","구로미래도서관","0025","구로구","서울 구로구 새말로 111","02-854-7466","http://lib.guro.go.kr","평일 : 09:00 ~ 20:00, 주말 : 09:00 ~ 17:00","매주 화요일 및 법정 공휴일","0001","공공도서관","37.50705341","126.89141811"
"2136","궁동어린이도서관","0025","구로구","서울특별시 구로구 오리로 1352","02-2060-8229","http://lib.guro.go.kr","평일 : 10:00~19:00, 주말 : 10:00~17:00","매주 화요일 및 법정 공휴일","0001","공공도서관","37.50531416","126.8928724"
"884","글마루한옥어린이도서관","0025","구로구","서울특별시 구로구 고척로27바길 7","02-2615-8200","http://lib.guro.go.kr","평일 : 10:00~19:00, 주말 : 10:00~17:00","매주 화요일 및 법정 공휴일","0001","공공도서관","37.50692111","126.8456405"
"61","꿈마을도서관","0025","구로구","서울특별시 구로구 디지털로27다길 65","02-830-5807","http://lib.guro.go.kr","평일 : 09:00~22:00, 주말 : 09:00~22:00","매주 월요일 및 법정 공휴일","0001","공공도서관","37.48714477","126.8901557"
"17","서울특별시교육청고척도서관","0025","구로구","서울특별시 구로구 고척로45길 31","02-2615-0524","http://gclib.sen.go.kr","평일 : 09:00~20:00, 주말 : 09:00~17:00","2,4주 수요일 및 법정공휴일","0001","공공도서관","37.50534626","126.8530515"
"18","서울특별시교육청구로도서관","0025","구로구","서울특별시 구로구 공원로 15","02-6958-2800","http://grlib.sen.go.kr","평일 : 09:00~20:00, 주말 : 09:00~17:00","1,3주 수요일 및 법정공휴일","0001","공공도서관","37.49867236","126.8911162"
"881","하늘도서관","0025","구로구","서울특별시 구로구 구로동로13길 68","02-864-9585(6)","http://lib.guro.go.kr","평일 : 09:00~22:00, 주말 : 09:00~22:00","매주 화요일 및 법정 공휴일","0001","공공도서관","37.50531416","126.8928724"
"2811","항동푸른도서관","0025","구로구","서울특별시 구로구 연동로 290-46 (항동)","02-2613-2022","http://lib.guro.go.kr","평일 : 09:00~21:00, 주말 : 09:00~17:00","매주 월요일 및 법정 공휴일","0001","공공도서관","37.4847517655523","126.82471761839"
"62","금천구립가산도서관","0006","금천구","서울특별시 금천구 가산로5길 43","02-865-6817~9","http://geumcheonlib.seoul.kr","평일 : 07:00~22:00, 주말 : 07:00~22:00","매월 두번째, 네번째 월요일 및 법정 공휴일","0001","공공도서관","37.47349155","126.8921299"
